Model,Phrasing english,Items english,Phrasing spanish,Items spanish
Classic,,"It is fair that in Chile, high-income individuals have access to better health care than those with lower incomes",,Es justo que en Chile las personas de altos ingresos puedan acceder a una mejor atención de salud que las personas con ingresos más bajos
Classic,,"It is fair that in Chile, high-income individuals have access to better education than those with lower incomes",,Es justo que en Chile las personas de altos ingresos tengan una mejor educación para sus hijos que las personas con ingresos más bajos
Classic,,It is fair that high-income individuals in Chile receive better pensions than those with lower incomes,,Es justo que en Chile las personas de altos ingresos tengan mejores pensiones que las personas con ingresos más bajos
New,,It's fair that I have access to better health care if I can afford it,,Es justo que yo tenga acceso a una mejor salud si puedo pagar por ello
New,,It's fair that I have access to a better education if I can afford it,,Es justo que yo tenga acceso a una mejor educación si puedo pagar por ello
New,,It's fair that I have access to a better pension if I can afford it,,Es justo que yo tenga acceso a mejor pensión si puedo pagar por ello
New,,It's okay for my children to have access to better health care than other children if I can afford it,,Está bien que mis hijos/as tengan acceso a una mejor salud que otros niños si es que puedo pagar por ello
New,,It's okay for my children to have access to a better education than other children if I can afford it,,Está bien que mis hijos/as tengan acceso a una mejor educación que otros niños si es que puedo pagar por ello
New,To what extent do you agree or disagree with the following statements?,Access to health care is unequal in Chile,¿En qué medida está de acuerdo o en desacuerdo con las siguientes afirmaciones?,El acceso a la salud es desigual en Chile
New,To what extent do you agree or disagree with the following statements?,Access to education is unequal in Chile,¿En qué medida está de acuerdo o en desacuerdo con las siguientes afirmaciones?,El acceso a la educación es desigual en Chile
New,To what extent do you agree or disagree with the following statements?,Pensions are unequal in Chile,¿En qué medida está de acuerdo o en desacuerdo con las siguientes afirmaciones?,Las pensiones son desiguales en Chile
New,"And thinking back 10 years, do you think access to the following services among those with higher and lower incomes has become…?",Health care,"Y pensando hace 10 años atrás, ¿usted cree que el acceso a los siguientes servicios entre quienes tienes más y menores ingresos se ha vuelto…?",Salud
New,"And thinking back 10 years, do you think access to the following services among those with higher and lower incomes has become…?",Education,"Y pensando hace 10 años atrás, ¿usted cree que el acceso a los siguientes servicios entre quienes tienes más y menores ingresos se ha vuelto…?",Educación
New,"And thinking back 10 years, do you think access to the following services among those with higher and lower incomes has become…?",Pensions,"Y pensando hace 10 años atrás, ¿usted cree que el acceso a los siguientes servicios entre quienes tienes más y menores ingresos se ha vuelto…?",Pensiones
New,,It's fine for public hospitals to be managed by private entities if they are able to provide better service,,Está bien que los hospitales públicos sean administrados por privados si ellos son capaces de brindar un mejor servicio
New,,It's fine for public high schools to be run by private entities if they are able to provide a better service,,Está bien que los liceos públicos sean administrados por privados si ellos son capaces de brindar un mejor servicio
New,,"The quality of the health care system should be the same for everyone, even if that means my family can't afford better services.",,La calidad del sistema de salud debería ser igual para todos aunque esto signifique que mi familila no pueda pagar por mejores servicios
New,,"Education should be of equal quality for everyone, even if that means I can't afford a better one for my family",,La educación debería ser de igual calidad para todos aunque eso me impida pagar por una mejor para mi familia
New,,"Pensions should be more equitable, even if that means I receive a pension similar to those who contributed less than I did",,"Las pensiones deberían ser más igualitarias, aunque eso signifique que yo reciba una pensión similar a quienes aportaron menos que yo"
