"variable","label","n_valido","n_no_sabe_no_responde","promedio","n_comentarios","comentario_1","comentario_2","comentario_3","comentario_4","comentario_5","comentario_6","comentario_7","comentario_8","comentario_9","comentario_10","comentario_11","comentario_12","comentario_13"
"consent_understand","Acepto participar en esta encuesta y entiendo que mis respuestas serán anónimas y utilizadas únicamente con fines de investigación.",33,0,,,,,,,,,,,,,,,
"respondent","¿Desde qué dispositivo responde esta encuesta?",20,0,,,,,,,,,,,,,,,
"sexo","¿Cuál es su sexo?",18,0,0.167,,,,,,,,,,,,,,
"year_of_birth","¿En qué año nació?",18,0,1995.944,,,,,,,,,,,,,,
"education","¿Cuál es el nivel educativo más alto que ha completado? Si actualmente está estudiando, use el grado más alto que haya obtenido.",17,0,7.647,,,,,,,,,,,,,,
"feedback","Comentarios (opcional)",13,0,,13,"probando desde hugging face","segunda pag fix comentarios id","e","Andreas","probando desde local (linux)","probando local","Andreas otra vez","La pregunta de ingreso es mejor si incluye impuestos. ","probando desde  https://jusmer.shinyapps.io/comentarios/

y comentarios al final ...","jc desde hugging face prueba 1","id-correo test desde segunda pag","Se me hizo algo confusa la pregunta sobre nivel educativo. Estoy estudiando en universidad y no tenia certeza si pone educación media completa o universitaria incompleta","probando el nuevo guardado de atributos del conjoint"
"cbc_practice","Considerando las caracteristicas anteriores, cuanto dinero (beca) le daria a cada postulante? (ejemplo de practica)",30,0,843333.333,,,,,,,,,,,,,,
"cbc_practice_comment","Comentarios",3,0,,3,"El atributo su hogar llega a fin de mes con podría ser dicho de un modo más específico, en el sentido de que se refiere al dinero. 

El ver género como primer atributo determinó completamente mi opción. ","sigo probando","martina-tomás",,,,,,,,,,
"manip_check","Antes de comenzar, ¿en qué consistirá su tarea en esta sección?",20,0,,,,,,,,,,,,,,,
"cbc_q1","(Tarea 1) Considerando las caracteristicas anteriores, cuanto dinero (beca) le daria a cada postulante?",21,0,919047.619,,,,,,,,,,,,,,
"cbc_q1_comment","Comentarios",5,0,,5,"jc desde shiniapps.io
","tomas desde hugging face - post deploy hf y shiny
","probando tarea 1","benjamín isidora","tomas-joaquin",,,,,,,,
"cbc_q2","(Tarea 2) Considerando las caracteristicas anteriores, cuanto dinero (beca) le daria a cada postulante?",20,0,955000,,,,,,,,,,,,,,
"cbc_q2_comment","Comentarios",1,0,,1,"le di todo a valentina",,,,,,,,,,,,
"cbc_q3","(Tarea 3) Considerando las caracteristicas anteriores, cuanto dinero (beca) le daria a cada postulante?",17,0,1076470.588,,,,,,,,,,,,,,
