"pair_id","Need_A","Identity_A","Control_A","Effort_A","Reciprocity_A","Attitude_A","Sex_A","Need_B","Identity_B","Control_B","Effort_B","Reciprocity_B","Attitude_B","Sex_B"
1,"holgura","chile","aplico","mas","hizo","agradece","mujer","dificultad","venezuela","aplico","mas","hizo","agradece","mujer"
2,"dificultad","chile","aplico","mas","hizo","agradece","mujer","holgura","venezuela","aplico","mas","hizo","agradece","mujer"
3,"holgura","chile","aplico","mas","hizo","agradece","mujer","dificultad","peru","aplico","mas","hizo","agradece","mujer"
4,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","peru","aplico","mas","hizo","agradece","mujer"
5,"dificultad","chile","aplico","mas","hizo","agradece","mujer","holgura","peru","aplico","mas","hizo","agradece","mujer"
6,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","holgura","peru","aplico","mas","hizo","agradece","mujer"
7,"holgura","chile","aplico","mas","hizo","agradece","mujer","dificultad","chile","no_aplico","mas","hizo","agradece","mujer"
8,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","chile","no_aplico","mas","hizo","agradece","mujer"
9,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","chile","no_aplico","mas","hizo","agradece","mujer"
10,"dificultad","peru","aplico","mas","hizo","agradece","mujer","dificultad","chile","no_aplico","mas","hizo","agradece","mujer"
11,"holgura","peru","aplico","mas","hizo","agradece","mujer","dificultad","chile","no_aplico","mas","hizo","agradece","mujer"
12,"dificultad","chile","aplico","mas","hizo","agradece","mujer","holgura","chile","no_aplico","mas","hizo","agradece","mujer"
13,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","holgura","chile","no_aplico","mas","hizo","agradece","mujer"
14,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","holgura","chile","no_aplico","mas","hizo","agradece","mujer"
15,"dificultad","peru","aplico","mas","hizo","agradece","mujer","holgura","chile","no_aplico","mas","hizo","agradece","mujer"
16,"holgura","peru","aplico","mas","hizo","agradece","mujer","holgura","chile","no_aplico","mas","hizo","agradece","mujer"
17,"dificultad","chile","aplico","mas","hizo","agradece","mujer","dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer"
18,"holgura","chile","aplico","mas","hizo","agradece","mujer","dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer"
19,"holgura","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer"
20,"dificultad","peru","aplico","mas","hizo","agradece","mujer","dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer"
21,"holgura","peru","aplico","mas","hizo","agradece","mujer","dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer"
22,"holgura","chile","no_aplico","mas","hizo","agradece","mujer","dificultad","venezuela","no_aplico","mas","hizo","agradece","mujer"
23,"dificultad","chile","aplico","mas","hizo","agradece","mujer","holgura","venezuela","no_aplico","mas","hizo","agradece","mujer"
24,"holgura","chile","aplico","mas","hizo","agradece","mujer","holgura","venezuela","no_aplico","mas","hizo","agradece","mujer"
25,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","holgura","venezuela","no_aplico","mas","hizo","agradece","mujer"
26,"dificultad","peru","aplico","mas","hizo","agradece","mujer","holgura","venezuela","no_aplico","mas","hizo","agradece","mujer"
27,"holgura","peru","aplico","mas","hizo","agradece","mujer","holgura","venezuela","no_aplico","mas","hizo","agradece","mujer"
28,"dificultad","chile","no_aplico","mas","hizo","agradece","mujer","holgura","venezuela","no_aplico","mas","hizo","agradece","mujer"
29,"dificultad","chile","aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","mas","hizo","agradece","mujer"
30,"holgura","chile","aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","mas","hizo","agradece","mujer"
31,"dificultad","venezuela","aplico","mas","hizo","agradece","mujer","dificultad","peru","no_aplico","mas","hizo","agradece","mujer"
