"session_id","respID","assigned_module","time_start","time_end","tiempo_total_seg","tiempo_total_min","sd_duracion_pregunta_seg"
"184c65d28b5fb5b7598a47fd38a2c28c","817","A",2026-07-20 14:19:14,2026-07-20 14:45:50,1596,26.6,130.12
"587ea63e15d02cdc5d5b7cf32863468f","945","A",2026-07-19 21:16:28,2026-07-19 21:32:40,972,16.2,28.57
"5b57a0239c6a2f0818c225f70c64de20","107","B",2026-07-17 19:47:50,2026-07-17 19:57:12,562,9.37,16.63
"65c8034d02597029fb8cb173566ee156","1806","A",2026-07-20 14:26:56,2026-07-20 14:45:29,1113,18.55,32.48
"78413d19dbb7f6391eb539df32d89434","1803","B",2026-07-20 14:53:59,2026-07-20 15:09:55,956,15.93,44.86
"7b7b0ed285d09470388cd290d8412d86","1444","C",2026-07-19 21:43:30,2026-07-19 22:06:21,1371,22.85,57.46
"7c2d74be26d58128fdc7a8af7b4ffce7","59","C",2026-07-17 20:26:54,2026-07-18 02:24:47,21473,357.88,19.05
"852d7cdba3c010f8b1ebdeeee371ab53","749","C",2026-07-22 12:16:52,2026-07-22 12:21:28,276,4.6,
"8b36e349b41b3f2124b8a400b1a86c73","427","C",2026-07-19 22:12:35,2026-07-19 22:38:20,1545,25.75,57.92
"c3d59c00b8aeaae726419f0892137791","821","A",2026-07-20 06:35:18,2026-07-20 06:50:33,915,15.25,32.05
"d4016b359cf452bb9803d995573faa55","1366","C",2026-07-20 03:55:16,2026-07-20 04:28:53,2017,33.62,58.7
"ef0c502372f31a492b927f5d155be93b","1632","B",2026-07-20 00:46:23,2026-07-20 01:04:56,1113,18.55,37.03
"fe0a82c9f482f181091877895bee0721","98","A",2026-07-17 19:43:30,2026-07-17 20:32:00,2910,48.5,51.59
