"pregunta","modulo","n","media_seg","mediana_seg","sd_seg","min_seg","max_seg","duracion_media_seg","duracion_mediana_seg"
"consent_understand","Todos",13,33,35,11.78,8,45,33,35
"respondent","Todos",12,45.17,49,16.51,13,69,13.17,14.5
"sexo","Todos",12,47.25,51,16.82,14,71,2.08,2
"year_of_birth","Todos",12,60.5,66,22.28,24,94,13.25,9
"education","Todos",12,72.58,79.5,25.51,32,103,12.08,14
"cbc_practice","Todos",11,198.82,221,85.67,56,310,127.55,142
"manip_check","Todos",12,256.75,247.5,145.18,68,610,67.25,30
"cbc_q1","Todos",8,361.62,330.5,184.35,177,756,66.38,62.5
"cbc_q2","Todos",10,397.6,347,186,211,764,76.6,43
"cbc_q3","Todos",10,407.8,378,166.85,241,719,53.2,38.5
"cbc_q4","Todos",8,569.5,515,214.65,270,843,74,35.5
"cbc_q5","Todos",8,633.88,549,275.84,291,1103,132.25,30
"cbc_q6","Todos",10,656.4,595,291.21,294,1148,45.7,45
"mj_1","A",5,556.2,481,388.09,109,1175,36,30
"mj_2","A",5,571.4,489,390.37,114,1187,15.2,12
"mj_3","A",5,634.8,497,323.28,396,1194,63.4,8
"ref_1","A",5,653.4,511,323.81,412,1215,18.6,16
"ref_2","A",5,673.4,567,315.57,421,1219,20,9
"ref_3","A",5,676.4,562,318.04,421,1226,3,6
"proy_1","A",5,687.2,576,323.79,424,1246,10.8,10
"proy_2","A",5,691.8,581,324.48,426,1251,4.6,5
"ranking_politicas_educacion","A",5,755.2,663,345.55,456,1343,63.4,76
"ranking_politicas_salud","A",5,757,661,350.12,459,1354,1.8,0
"ranking_politicas_pensiones","A",5,797.2,666,317.58,590,1356,40.2,5
"ranking_politicas_cuidado_ninos","A",4,829.25,690.5,353.27,587,1349,-0.75,-0.5
"ranking_politicas_carreteras","A",1,748,748,,748,748,-2,-2
"rank_1","A",5,828.2,700,316.11,633,1384,32,34
"rank_2","A",5,832.6,704,316.16,642,1389,4.4,4
"rank_3","A",5,851.8,722,308.65,648,1397,19.2,3
"rank_4","A",5,856.4,726,307.74,651,1400,4.6,3
