"session_id","respID","assigned_module","time_start","time_end","tiempo_total_seg","tiempo_total_min","sd_duracion_pregunta_seg"
"050d55f8790a656837ba770223fb028c","1722","C",2026-07-06 21:03:13,2026-07-06 21:24:08,1255,20.92,49.42
"184c65d28b5fb5b7598a47fd38a2c28c","817","A",2026-07-20 14:19:14,2026-07-20 14:45:50,1596,26.6,130.12
"3692ccaa2a40456a1fe085556bc3f972","1968","A",2026-07-06 21:00:53,2026-07-07 00:28:39,12466,207.77,13.97
"48f64836912f0a595483cae65d4c7902","374","A",2026-07-09 10:07:34,2026-07-20 13:49:51,963737,16062.28,192558.54
"587ea63e15d02cdc5d5b7cf32863468f","945","A",2026-07-19 21:16:28,2026-07-19 21:32:40,972,16.2,28.57
"5b57a0239c6a2f0818c225f70c64de20","107","B",2026-07-17 19:47:50,2026-07-17 19:57:12,562,9.37,16.63
"65c8034d02597029fb8cb173566ee156","1806","A",2026-07-20 14:26:56,2026-07-20 14:45:29,1113,18.55,32.48
"78413d19dbb7f6391eb539df32d89434","1803","B",2026-07-20 14:53:59,2026-07-20 15:09:55,956,15.93,44.86
"7b7b0ed285d09470388cd290d8412d86","1444","C",2026-07-19 21:43:30,2026-07-19 22:06:21,1371,22.85,57.46
"7c2d74be26d58128fdc7a8af7b4ffce7","59","C",2026-07-17 20:26:54,2026-07-18 02:24:47,21473,357.88,19.05
"852d7cdba3c010f8b1ebdeeee371ab53","749","C",2026-07-22 12:16:52,2026-07-22 12:21:28,276,4.6,
"8b36e349b41b3f2124b8a400b1a86c73","427","C",2026-07-19 22:12:35,2026-07-19 22:38:20,1545,25.75,57.92
"96ecca1ad4ff6f16031883c940e3b51a","1878","A",2026-07-12 08:53:48,2026-07-12 09:08:48,900,15,28.54
"b8e9411e617a51645b1b9fcaa7bfec91","1394","A",2026-07-02 22:35:49,2026-07-02 22:52:47,1018,16.97,37.91
"c3d59c00b8aeaae726419f0892137791","821","A",2026-07-20 06:35:18,2026-07-20 06:50:33,915,15.25,32.05
"c9b6c53cd1d542940530aeecc3c7f800","1924","B",2026-07-07 17:35:34,2026-07-07 17:47:52,738,12.3,23.52
"d4016b359cf452bb9803d995573faa55","1366","C",2026-07-20 03:55:16,2026-07-20 04:28:53,2017,33.62,58.7
"e88ae6f237e62cf15896fecc2c1fcaff","501","B",2026-07-07 23:36:02,2026-07-07 23:54:24,1102,18.37,55.92
"eb51317ed7884a55d0bedd87ce53af71","1785","C",2026-07-07 14:52:20,2026-07-13 19:37:05,535485,8924.75,82.83
"ef0c502372f31a492b927f5d155be93b","1632","B",2026-07-20 00:46:23,2026-07-20 01:04:56,1113,18.55,37.03
"fe0a82c9f482f181091877895bee0721","98","A",2026-07-17 19:43:30,2026-07-17 20:32:00,2910,48.5,51.59
