"pregunta","modulo","n","media_seg","mediana_seg","sd_seg","min_seg","max_seg","duracion_media_seg","duracion_mediana_seg"
"consent_understand","Todos",21,45891.71,39,210093.29,7,962814,45891.71,39
"respondent","Todos",20,48211.3,49.5,215279.86,13,962834,27.25,15
"sexo","Todos",20,48214.25,51.5,215283.87,14,962854,2.95,2
"year_of_birth","Todos",20,48223.4,70.5,215278.89,24,962842,9.15,7
"education","Todos",20,48234.8,81,215277.62,32,962848,11.4,11.5
"cbc_practice","Todos",19,50905.47,239,220862.66,56,962954,136.58,139
"manip_check","Todos",20,48421.5,261,215266.67,68,962988,56.95,28
"cbc_q1","Todos",15,371.73,334,169.8,152,756,56.87,55
"cbc_q2","Todos",15,415,377,172.25,211,764,66.67,52
"cbc_q3","Todos",17,57067.71,421,233475.62,241,963086,50.12,41
"cbc_q4","Todos",14,523.71,483.5,215.34,188,843,54.07,32.5
"cbc_q5","Todos",16,60729.81,539.5,240642.3,203,963138,79.62,27
"cbc_q6","Todos",17,57244.94,565,233445.75,294,963147,38.47,27
"mj_1","A",9,107481.89,502,320879.81,109,963161,31.11,27
"mj_2","A",9,107494.11,517,320878.6,114,963170,12.22,9
"mj_3","A",9,107532,528,320866.23,237,963175,37.89,7
"ref_1","A",9,107552.11,551,320873.32,248,963214,20.11,16
"ref_2","A",9,107565.89,567,320874.15,252,963230,13.78,5
"ref_3","A",9,107568.89,562,320872.28,258,963228,3,5
"proy_1","A",9,107576.67,576,320868.99,262,963227,7.78,7
"proy_2","A",8,120994.88,624,340312.45,426,963225,3.88,5
"ranking_politicas_educacion","A",8,121057,703,340317.26,456,963299,62.12,67
"ranking_politicas_salud","A",8,121057.75,702,340318.98,459,963304,0.75,-1
"ranking_politicas_pensiones","A",8,121084.62,705.5,340308.92,590,963306,26.88,3.5
"ranking_politicas_cuidado_ninos","A",7,138287.86,745,363800.22,587,963309,0.57,2
"ranking_politicas_carreteras","A",3,321567.67,748,555765.17,645,963310,0,1
"rank_1","A",7,804.29,700,264.47,633,1384,37,34
"rank_2","A",8,121122.5,743,340300.48,642,963323,5,3.5
"rank_3","A",7,822.57,722,259.93,648,1397,14.43,3
"rank_4","A",8,121139.12,757,340294.97,651,963326,4,3
"rank_5","A",7,830,732,259.63,652,1404,3.29,4
"pres_1","A",7,851,752,258.5,669,1419,21,20
"pres_2","A",7,854.43,755,257.84,673,1421,3.43,4
"pres_3","A",7,858.29,758,258.15,675,1425,3.86,3
"pres_4","A",7,873.29,769,255.53,694,1437,15,12
"pres_5","A",7,878,771,256.33,696,1444,4.71,4
"pres_6","A",7,882.57,776,258.25,698,1453,4.57,4
"valor_1","A",7,916.14,841,249.96,763,1468,33.57,15
"valor_2","A",7,917.71,824,255.47,760,1483,1.57,4
"valor_3","A",7,940.29,854,251.34,772,1496,22.57,18
"valor_4","A",7,949,861,252.74,781,1507,8.71,11
"valor_5","A",7,961,876,258.92,788,1533,12,11
"dec_3","B",4,542.75,453.5,274.76,332,932,38.5,36
"dec_1","B",5,592.6,574,244.04,359,955,29.6,27
"dec_2","B",2,550,550,219.2,395,705,12.5,12.5
"lucro_1","B",5,632.4,658,247.7,374,976,34.8,21
"lucro_2","B",5,634.4,661,245.89,379,974,2,3
"lucro_3","B",5,638,663,248.8,380,983,3.6,2
"cargo_1","B",2,624.5,624.5,277.89,428,821,85,85
"cargo_3","B",1,406,406,,406,406,26,26
"cargo_4","B",1,409,409,,409,409,3,3
"cargo_5","B",2,711.5,711.5,423.56,412,1011,15.5,15.5
"efic_1","B",2,608,608,270.11,417,799,28,28
"efic_2","B",1,419,419,,419,419,2,2
"efic_3","B",1,421,421,,421,421,2,2
"efic_4","B",1,423,423,,423,423,2,2
"efic_5","B",2,651.5,651.5,320.32,425,878,29.5,29.5
"part_1","B",1,472,472,,472,472,44,44
"part_5","B",1,447,447,,447,447,22,22
"neolib_1","B",5,768.6,854,260.17,480,1049,47.2,38
"neolib_2","B",5,777,859,264.89,488,1053,8.4,5
"neolib_3","B",5,785.6,866,267.24,494,1058,8.6,6
"neolib_4","B",5,793.4,872,265.68,508,1063,7.8,6
"control_1","C",6,719.33,712.5,278.82,303,1011,35.67,25
"control_2","C",6,751,743.5,295.71,314,1070,31.67,24.5
"control_3","C",6,761.83,753.5,300.65,318,1091,10.83,11.5
"actitud_1","C",6,777.33,773,301.57,325,1113,15.5,11
"actitud_2","C",6,791.67,782,305.94,336,1145,14.33,10.5
"reciproc_1","C",5,849.6,942,331.85,356,1164,29.2,26
"reciproc_2","C",5,927,1000,409.89,370,1440,77.4,28
"reciproc_3","C",5,946.6,1007,396.8,424,1456,19.6,11
"actitud_4","C",4,1031,1104.5,444.55,428,1487,24.75,28
"id_1","C",4,1049,1127,445.79,440,1502,18,14
"id_2","C",5,996.8,1069,408.99,444,1511,16,6
"id_3","C",5,1012.2,1097,407.2,460,1520,15.4,13
"nec_1","C",4,1111,1167.5,482.2,472,1637,40,15.5
"nec_2","C",4,1126.25,1179,491.66,479,1668,15.25,11.5
"nec_3","C",4,1151.75,1211.5,505.35,485,1699,25.5,18.5
"esf_1","C",4,1170,1236.5,508.71,492,1715,18.25,14
"esf_2","C",4,1201.5,1268.5,496.09,542,1727,31.5,31
"esf_3","C",4,1217,1282,501.24,553,1751,15.5,13.5
"esf_4","C",4,1239,1300.5,509.58,566,1789,22,20
"esf_5","C",4,1247,1308.5,509.7,574,1797,8,8
"adc_qstn","C",5,1225,1257,466.79,591,1842,72,39
"adc_5","C",5,1244.4,1271,474.87,607,1880,19.4,16
"adc_6","C",5,1248,1282,471.54,612,1875,3.6,4
"adc_7","C",5,1260.4,1294,471.59,629,1890,12.4,12
"gender","Todos",16,1016.12,908.5,376.01,515,1908,18.19,13
"income","Todos",17,1049.82,967,374.04,532,1984,32.94,17
"salud_prov","Todos",17,1050.29,970,374.98,534,1987,0.47,3
"educ_prov","Todos",17,1054.06,972,375.8,537,1994,3.76,4
